,challenge_ID,programming_language,challenge_series_ID,total_submissions,publish_date,author_ID,author_gender,author_org_ID,category_id
56,CI23534,1,SI2446,779.0,07-12-2006,AI563627,M,AOI100043,70.0
57,CI23535,2,SI2446,534.0,17-01-2007,AI563628,F,AOI100011,70.0
58,CI23536,1,SI2446,280.0,23-10-2006,AI563629,M,AOI100044,23.0
59,CI23537,1,SI2446,266.0,23-05-2006,AI563630,M,AOI100045,70.0
60,CI23538,1,SI2446,230.0,05-04-2006,AI563631,M,AOI100046,70.0
61,CI23539,1,SI2446,848.0,01-03-2006,AI563632,M,AOI100047,69.0
62,CI23540,1,SI2446,171.0,22-03-2006,AI563582,F,AOI100007,32.0
63,CI23541,1,SI2446,135.0,28-03-2006,AI563633,M,AOI100048,79.0
64,CI23542,1,SI2446,293.0,25-09-2002,AI563634,M,AOI100049,75.0
65,CI23543,1,SI2446,51.0,20-09-2002,AI563635,M,AOI100050,71.0
66,CI23544,2,SI2446,193.0,14-06-2002,AI563636,M,AOI100051,92.0
67,CI23545,1,SI2447,318.0,30-01-2007,AI563637,F,AOI100052,58.0
68,CI23546,1,SI2447,1355.0,06-10-2006,AI563638,F,AOI100053,39.0
69,CI23547,2,SI2447,37.0,18-11-2003,AI563639,M,AOI100002,
70,CI23548,1,SI2447,58.0,17-04-2007,AI563640,M,AOI100054,
71,CI23549,1,SI2447,469.0,26-09-2006,AI563641,M,AOI100055,36.0
72,CI23550,1,SI2447,104.0,09-01-2007,AI563642,M,AOI100056,
73,CI23551,2,SI2447,323.0,16-01-2007,AI563643,M,AOI100057,85.0
74,CI23552,2,SI2447,92.0,21-01-2003,AI563644,M,AOI100019,
75,CI23553,1,SI2447,97.0,16-01-2003,AI563645,M,AOI100058,71.0
76,CI23554,1,SI2447,1134.0,02-12-2003,AI563646,M,AOI100059,41.0
77,CI23555,1,SI2447,818.0,04-11-2003,AI563647,F,AOI100060,50.0
79,CI23557,1,SI2447,290.0,17-12-2002,AI563649,F,AOI100062,135.0
80,CI23558,2,SI2447,65.0,14-01-2003,AI563650,F,AOI100063,
81,CI23559,2,SI2447,64.0,13-01-2004,AI563651,F,AOI100064,
82,CI23560,2,SI2447,372.0,09-11-2004,AI563652,M,AOI100065,
83,CI23561,2,SI2447,74.0,04-01-2005,AI563611,M,AOI100032,
84,CI23562,2,SI2447,180.0,03-02-2003,AI563653,M,AOI100066,36.0
85,CI23563,2,SI2447,31.0,29-06-2004,AI563611,M,AOI100032,
86,CI23564,1,SI2447,251.0,05-10-2004,AI563654,M,AOI100067,81.0
87,CI23565,1,SI2447,987.0,09-08-2004,AI563655,M,AOI100068,121.0
89,CI23567,2,SI2447,52.0,22-10-2002,AI563611,M,AOI100032,
90,CI23568,1,SI2447,984.0,30-05-2006,AI563640,M,AOI100054,29.0
91,CI23569,1,SI2447,253.0,10-01-2005,AI563611,M,AOI100032,59.0
92,CI23570,2,SI2447,138.0,05-09-2002,AI563657,M,AOI100069,
93,CI23571,2,SI2447,201.0,18-06-2002,AI563652,M,AOI100065,38.0
94,CI23572,2,SI2447,165.0,03-10-2002,AI563658,M,AOI100070,
95,CI23573,2,SI2447,81.0,10-09-2002,AI563659,M,AOI100066,
96,CI23574,1,SI2447,112.0,17-09-2002,AI563660,M,AOI100071,
97,CI23575,1,SI2447,130.0,20-02-2007,AI563661,M,AOI100002,41.0
98,CI23576,2,SI2447,231.0,19-02-2001,AI563662,M,AOI100011,
99,CI23577,2,SI2447,114.0,05-03-2002,AI563653,M,AOI100066,35.0
100,CI23578,2,SI2447,82.0,26-03-2001,AI563663,M,AOI100019,
103,CI23581,1,SI2447,54.0,09-03-2004,AI563666,M,AOI100073,
104,CI23582,1,SI2447,136.0,24-02-2004,AI563667,M,AOI100074,51.0
105,CI23583,2,SI2447,60.0,16-03-2004,AI563668,M,AOI100002,
107,CI23585,2,SI2447,64.0,08-06-2004,AI563670,M,AOI100019,
108,CI23586,1,SI2447,53.0,16-11-2004,AI563671,M,AOI100076,41.0
109,CI23587,2,SI2447,108.0,11-03-2002,AI563672,F,AOI100002,
110,CI23588,2,SI2447,49.0,11-06-2002,AI563673,F,AOI100077,
112,CI23590,2,SI2447,174.0,06-02-2007,AI563675,M,AOI100011,
113,CI23591,2,SI2447,48.0,24-04-2001,AI563669,M,AOI100075,
114,CI23592,1,SI2447,36.0,28-11-2002,AI563676,M,AOI100078,
115,CI23593,1,SI2447,64.0,26-11-2002,AI563677,M,AOI100062,
116,CI23594,1,SI2447,215.0,20-05-2005,AI563678,F,AOI100079,40.0
117,CI23595,2,SI2447,102.0,20-05-2003,AI563679,M,AOI100063,
119,CI23597,2,SI2447,86.0,27-05-2003,AI563657,M,AOI100069,
120,CI23598,1,SI2447,565.0,17-06-2003,AI563680,M,AOI100080,39.0
121,CI23599,2,SI2447,68.0,10-06-2003,AI563681,M,AOI100026,
122,CI23600,1,SI2447,52.0,02-10-2003,AI563682,M,AOI100081,
123,CI23601,2,SI2447,44.0,20-03-2003,AI563613,M,AOI100001,
124,CI23602,2,SI2447,33.0,11-03-2003,AI563683,M,AOI100082,
126,CI23604,1,SI2447,188.0,17-04-2007,AI563640,M,AOI100054,29.0
127,CI23605,1,SI2447,107.0,17-04-2007,AI563640,M,AOI100054,
128,CI23606,2,SI2447,63.0,06-05-2003,AI563685,M,AOI100069,
129,CI23607,2,SI2447,78.0,04-06-2002,AI563577,M,AOI100002,
130,CI23608,2,SI2447,75.0,21-05-2002,AI563686,M,AOI100002,
131,CI23609,2,SI2447,347.0,07-05-2002,AI563653,M,AOI100066,35.0
132,CI23610,1,SI2447,92.0,09-04-2002,AI563687,M,AOI100001,
133,CI23611,1,SI2447,61.0,02-04-2002,AI563616,F,AOI100001,
134,CI23612,1,SI2525,9020.0,08-12-2006,AI563688,M,AOI100083,77.0
135,CI23613,1,SI2478,21.0,01-05-2006,,,,
136,CI23614,1,SI2458,157.0,10-12-2005,AI563689,M,AOI100084,30.0
137,CI23615,1,SI2524,71.0,08-12-2006,AI563690,M,AOI100085,
138,CI23616,1,SI2524,185.0,08-12-2006,AI563691,M,AOI100086,45.0
139,CI23617,1,SI2464,291.0,24-02-2005,AI563611,M,AOI100032,39.0
140,CI23618,1,SI2525,122.0,08-12-2006,AI563692,M,AOI100087,77.0
141,CI23619,1,SI2448,134.0,03-10-2006,AI563693,M,AOI100088,31.0
142,CI23620,1,SI2479,18.0,10-04-2006,AI563694,M,AOI100089,122.0
144,CI23622,1,SI2464,410.0,23-02-2005,AI563696,M,AOI100091,74.0
145,CI23623,1,SI2459,224.0,14-07-2006,AI563697,M,AOI100092,113.0
146,CI23624,1,SI2456,62.0,05-05-2004,AI563698,M,AOI100093,81.0
147,CI23625,1,SI2456,214.0,04-05-2004,AI563699,M,AOI100085,31.0
148,CI23626,1,SI2459,285.0,14-07-2006,AI563576,M,AOI100001,60.0
149,CI23627,1,SI2464,164.0,23-02-2005,AI563700,M,AOI100085,77.0
150,CI23628,1,SI2455,97.0,07-10-2004,AI563701,M,AOI100094,46.0
151,CI23629,1,SI2455,83.0,09-10-2005,AI563702,M,AOI100095,31.0
152,CI23630,1,SI2455,51.0,08-10-2005,AI563703,M,AOI100096,46.0
153,CI23631,1,SI2456,289.0,05-05-2004,AI563704,M,AOI100093,52.0
154,CI23632,1,SI2456,126.0,04-05-2004,AI563705,M,AOI100085,31.0
155,CI23633,1,SI2456,49.0,05-05-2004,AI563706,M,AOI100097,
156,CI23634,1,SI2478,35.0,01-05-2006,AI563707,M,AOI100083,
157,CI23635,1,SI2448,105.0,03-10-2006,AI563708,M,AOI100085,77.0
158,CI23636,1,SI2464,99.0,23-02-2005,AI563709,M,AOI100098,
159,CI23637,1,SI2464,924.0,23-02-2005,AI563710,M,AOI100099,49.0
160,CI23638,1,SI2471,161.0,11-06-2005,AI563711,M,AOI100100,132.0
161,CI23639,1,SI2471,502.0,13-06-2005,AI563712,M,AOI100101,46.0
162,CI23640,1,SI2451,45.0,17-11-2005,AI563713,F,AOI100102,64.0
163,CI23641,1,SI2479,45.0,05-04-2006,AI563714,M,AOI100089,122.0
164,CI23642,1,SI2479,215.0,05-04-2006,AI563715,M,AOI100089,122.0
165,CI23643,1,SI2451,94.0,16-11-2005,AI563716,M,AOI100089,53.0
166,CI23644,1,SI2464,148.0,23-02-2005,AI563717,M,AOI100103,132.0
167,CI23645,1,SI2451,235.0,18-11-2005,AI563718,M,AOI100104,92.0
168,CI23646,1,SI2468,617.0,31-07-2006,AI563719,M,AOI100105,118.0
169,CI23647,1,SI2451,384.0,17-11-2005,AI563659,M,AOI100066,67.0
170,CI23648,1,SI2468,2186.0,31-07-2006,AI563691,M,AOI100086,30.0
171,CI23649,1,SI2468,130.0,31-07-2006,AI563691,M,AOI100086,29.0
172,CI23650,1,SI2468,92.0,31-07-2006,AI563720,M,AOI100054,47.0
173,CI23651,1,SI2468,1351.0,31-07-2006,AI563721,M,AOI100106,81.0
174,CI23652,1,SI2451,129.0,16-11-2005,AI563722,M,AOI100001,53.0
175,CI23653,1,SI2451,1591.0,16-11-2005,AI563576,M,AOI100001,53.0
176,CI23654,1,SI2464,284.0,23-02-2005,AI563723,M,AOI100107,74.0
177,CI23655,1,SI2468,212.0,24-07-2006,AI563655,M,AOI100068,29.0
178,CI23656,1,SI2479,18.0,10-04-2006,AI563694,M,AOI100089,122.0
179,CI23657,1,SI2459,83.0,14-07-2006,AI563724,M,AOI100098,120.0
180,CI23658,1,SI2464,78.0,23-02-2005,AI563725,M,AOI100108,77.0
181,CI23659,1,SI2459,415.0,13-07-2006,AI563726,M,AOI100109,31.0
182,CI23660,1,SI2467,199.0,07-07-2006,AI563727,M,AOI100049,82.0
183,CI23661,1,SI2459,347.0,11-07-2006,AI563728,M,AOI100110,60.0
184,CI23662,1,SI2472,2142.0,14-09-2004,AI563710,M,AOI100099,49.0
185,CI23663,1,SI2472,8897.0,15-09-2004,AI563724,M,AOI100098,45.0
186,CI23664,1,SI2459,429.0,12-07-2006,AI563729,M,AOI100111,120.0
187,CI23665,1,SI2457,116.0,09-02-2006,AI563730,M,AOI100112,82.0
188,CI23666,1,SI2463,656.0,04-08-2003,AI563731,M,AOI100113,32.0
189,CI23667,1,SI2463,3980.0,06-08-2003,AI563732,M,AOI100085,31.0
190,CI23668,1,SI2479,129.0,09-04-2006,AI563733,M,AOI100089,122.0
191,CI23669,1,SI2450,661.0,09-09-2004,AI563734,M,AOI100114,77.0
192,CI23670,1,SI2452,61.0,03-10-2005,AI563735,M,AOI100115,
194,CI23672,1,SI2475,103.0,07-07-2005,AI563737,M,AOI100117,
195,CI23673,1,SI2462,153.0,31-01-2005,AI563691,M,AOI100086,82.0
196,CI23674,1,SI2462,483.0,03-02-2005,AI563738,M,AOI100085,30.0
197,CI23675,1,SI2462,22.0,02-02-2005,AI563730,M,AOI100112,82.0
198,CI23676,1,SI2462,47.0,02-02-2005,AI563730,M,AOI100112,82.0
199,CI23677,1,SI2479,775.0,09-04-2006,AI563733,M,AOI100089,115.0
200,CI23678,1,SI2478,38.0,01-05-2006,AI563739,M,AOI100091,
201,CI23679,1,SI2478,78.0,01-05-2006,AI563740,M,AOI100118,
202,CI23680,1,SI2473,70.0,13-04-2005,AI563741,M,AOI100119,62.0
203,CI23681,1,SI2473,31.0,13-04-2005,AI563742,M,AOI100083,62.0
204,CI23682,1,SI2473,56.0,13-04-2005,AI563743,M,AOI100120,62.0
205,CI23683,1,SI2479,9.0,07-04-2006,AI563715,M,AOI100089,122.0
206,CI23684,1,SI2451,72.0,16-11-2005,AI563733,M,AOI100089,53.0
207,CI23685,1,SI2523,170.0,08-12-2006,AI563744,M,AOI100121,
208,CI23686,1,SI2523,228.0,08-12-2006,AI563745,M,AOI100047,
209,CI23687,1,SI2469,113.0,19-05-2005,AI563746,M,AOI100122,32.0
210,CI23688,1,SI2469,564.0,18-05-2005,AI563747,M,AOI100123,110.0
211,CI23689,1,SI2469,129.0,27-05-2005,AI563640,M,AOI100054,29.0
212,CI23690,1,SI2469,453.0,18-05-2005,AI563748,M,AOI100124,29.0
213,CI23691,1,SI2469,4823.0,25-05-2005,AI563749,M,AOI100125,33.0
214,CI23692,1,SI2469,333.0,23-05-2005,AI563750,M,AOI100126,81.0
215,CI23693,1,SI2469,58.0,17-05-2005,AI563751,M,AOI100127,29.0
216,CI23694,1,SI2469,230.0,24-05-2005,AI563752,M,AOI100128,30.0
217,CI23695,1,SI2479,97.0,09-04-2006,AI563733,M,AOI100089,122.0
218,CI23696,1,SI2457,643.0,14-02-2006,AI563753,M,AOI100086,114.0
219,CI23697,1,SI2450,1280.0,07-09-2004,AI563754,M,AOI100129,46.0
220,CI23698,1,SI2450,166.0,07-10-2004,AI563755,M,AOI100130,46.0
221,CI23699,1,SI2449,377.0,21-06-2004,AI563756,M,AOI100131,132.0
222,CI23700,1,SI2450,208.0,07-09-2004,AI563757,M,AOI100132,29.0
223,CI23701,1,SI2450,53.0,07-09-2004,AI563739,M,AOI100091,77.0
224,CI23702,1,SI2463,576.0,07-08-2003,AI563691,M,AOI100086,30.0
225,CI23703,1,SI2479,346.0,31-03-2006,AI563758,M,AOI100089,122.0
226,CI23704,1,SI2479,784.0,11-04-2006,AI563759,M,AOI100089,122.0
227,CI23705,1,SI2479,279.0,30-03-2006,AI563758,M,AOI100089,122.0
228,CI23706,1,SI2467,70.0,07-07-2006,AI563576,M,AOI100001,
229,CI23707,1,SI2467,70.0,06-07-2006,AI563760,M,AOI100133,
230,CI23708,1,SI2479,151.0,30-03-2006,AI563758,M,AOI100089,122.0
231,CI23709,1,SI2467,173.0,07-07-2006,AI563761,F,AOI100134,50.0
232,CI23710,1,SI2467,94.0,07-07-2006,AI563762,M,AOI100135,
233,CI23711,1,SI2467,156.0,07-07-2006,AI563763,M,AOI100136,54.0
234,CI23712,1,SI2467,133.0,07-07-2006,AI563764,,,50.0
235,CI23713,1,SI2466,68.0,17-03-2005,AI563765,M,AOI100137,
236,CI23714,1,SI2477,14723.0,12-06-2006,AI563766,M,AOI100129,29.0
237,CI23715,1,SI2467,99.0,07-07-2006,AI563767,M,AOI100093,
238,CI23716,1,SI2456,324.0,04-05-2004,AI563768,M,AOI100138,81.0
239,CI23717,1,SI2478,37.0,02-05-2006,AI563769,M,AOI100139,
240,CI23718,1,SI2470,65.0,05-10-2005,AI563770,M,AOI100113,
241,CI23719,1,SI2470,18.0,04-10-2005,AI563655,M,AOI100068,
242,CI23720,1,SI2470,58.0,05-10-2004,AI563771,F,AOI100140,
243,CI23721,1,SI2470,72.0,04-10-2005,AI563772,M,AOI100108,
244,CI23722,1,SI2470,81.0,03-10-2005,AI563748,M,AOI100124,
245,CI23723,1,SI2470,440.0,03-10-2005,AI563691,M,AOI100086,66.0
246,CI23724,1,SI2470,647.0,03-10-2005,AI563773,M,AOI100141,31.0
247,CI23725,1,SI2470,80.0,04-10-2005,AI563774,M,AOI100142,
248,CI23726,1,SI2463,296.0,07-08-2003,AI563751,M,AOI100127,118.0
249,CI23727,1,SI2448,276.0,03-10-2006,AI563775,M,AOI100143,61.0
250,CI23728,1,SI2458,213.0,09-12-2005,AI563776,M,AOI100144,77.0
251,CI23729,1,SI2458,52.0,09-12-2005,AI563777,M,AOI100108,31.0
252,CI23730,1,SI2459,145.0,13-07-2006,AI563778,F,AOI100145,30.0
253,CI23731,1,SI2481,174.0,25-07-2005,AI563779,M,AOI100146,39.0
254,CI23732,1,SI2479,38.0,08-04-2006,AI563715,M,AOI100089,122.0
255,CI23733,1,SI2451,76.0,19-11-2005,AI563780,F,AOI100001,64.0
256,CI23734,1,SI2453,35.0,09-08-2005,AI563781,M,AOI100147,29.0
257,CI23735,1,SI2458,154.0,09-12-2005,AI563782,M,AOI100148,31.0
258,CI23736,1,SI2458,90.0,09-12-2005,AI563783,M,AOI100149,31.0
259,CI23737,1,SI2458,97.0,09-12-2005,AI563784,M,AOI100150,31.0
260,CI23738,1,SI2458,42.0,09-12-2005,AI563785,M,AOI100128,
261,CI23739,1,SI2468,79.0,27-07-2006,AI563783,M,AOI100149,120.0
262,CI23740,1,SI2468,346.0,27-07-2006,AI563786,F,AOI100151,32.0
263,CI23741,1,SI2468,1055.0,27-07-2006,AI563787,M,AOI100152,30.0
264,CI23742,1,SI2460,40.0,13-02-2002,AI563788,M,AOI100086,29.0
265,CI23743,1,SI2468,228.0,28-07-2006,AI563789,M,AOI100153,61.0
266,CI23744,1,SI2448,680.0,04-10-2006,AI563790,F,AOI100154,29.0
267,CI23745,1,SI2464,95.0,24-02-2005,AI563791,M,AOI100130,
268,CI23746,1,SI2464,48.0,24-02-2005,AI563792,M,AOI100155,
269,CI23747,1,SI2469,56.0,27-05-2005,AI563793,M,AOI100156,47.0
270,CI23748,1,SI2469,315.0,25-05-2005,AI563794,M,AOI100157,60.0
271,CI23749,1,SI2479,57.0,11-04-2006,AI563694,M,AOI100089,122.0
272,CI23750,1,SI2525,134.0,08-12-2006,AI563734,M,AOI100114,77.0
273,CI23751,1,SI2448,200.0,04-10-2006,AI563795,F,AOI100158,
274,CI23752,1,SI2452,103.0,03-10-2005,AI563796,M,AOI100159,
275,CI23753,1,SI2452,78.0,03-10-2005,AI563797,M,AOI100160,
276,CI23754,1,SI2452,225.0,03-10-2005,AI563798,F,AOI100161,74.0
277,CI23755,1,SI2452,41.0,03-10-2005,AI563799,M,AOI100162,
278,CI23756,1,SI2452,197.0,03-10-2005,AI563800,F,AOI100163,66.0
279,CI23757,1,SI2461,224.0,23-01-2005,AI563745,M,AOI100047,37.0
280,CI23758,1,SI2461,33.0,23-01-2005,AI563801,M,AOI100164,
281,CI23759,1,SI2461,107.0,22-01-2005,AI563802,M,AOI100164,41.0
282,CI23760,1,SI2479,206.0,01-04-2006,AI563758,M,AOI100089,122.0
283,CI23761,1,SI2479,85.0,01-04-2006,AI563758,M,AOI100089,122.0
284,CI23762,1,SI2479,73.0,31-03-2006,AI563758,M,AOI100089,122.0
285,CI23763,1,SI2479,218.0,31-03-2006,AI563758,M,AOI100089,122.0
286,CI23764,1,SI2469,534.0,17-05-2005,AI563655,M,AOI100068,86.0
287,CI23765,1,SI2479,702.0,01-04-2006,AI563758,M,AOI100089,122.0
288,CI23766,1,SI2479,223.0,01-04-2006,AI563758,M,AOI100089,122.0
289,CI23767,1,SI2469,77.0,26-05-2005,AI563803,M,AOI100165,29.0
290,CI23768,1,SI2469,838.0,26-05-2005,AI563804,F,AOI100165,113.0
291,CI23769,1,SI2469,3796.0,25-05-2005,AI563754,M,AOI100129,46.0
292,CI23770,1,SI2469,1542.0,16-05-2005,AI563805,M,AOI100166,66.0
293,CI23771,1,SI2481,149.0,24-07-2005,AI563806,F,AOI100167,31.0
294,CI23772,1,SI2481,46.0,24-07-2005,AI563807,M,AOI100092,
295,CI23773,1,SI2464,43.0,25-02-2005,AI563808,M,AOI100168,
296,CI23774,1,SI2464,757.0,25-02-2005,AI563809,M,AOI100089,114.0
297,CI23775,1,SI2464,131.0,25-02-2005,AI563810,M,AOI100169,
298,CI23776,1,SI2522,1134.0,08-12-2006,AI563811,M,AOI100170,72.0
299,CI23777,1,SI2475,49.0,06-07-2005,AI563812,M,AOI100171,
300,CI23778,1,SI2481,96.0,24-07-2005,AI563813,M,AOI100128,
301,CI23779,1,SI2481,77.0,24-07-2005,AI563814,M,AOI100172,
302,CI23780,1,SI2522,400.0,08-12-2006,AI563815,M,AOI100173,72.0
303,CI23781,1,SI2463,2868.0,05-08-2003,AI563816,M,AOI100174,29.0
304,CI23782,1,SI2463,973.0,04-08-2003,AI563817,M,AOI100175,74.0
305,CI23783,1,SI2525,43.0,08-12-2006,,,,
306,CI23784,1,SI2521,120.0,08-12-2006,AI563818,M,AOI100155,120.0
307,CI23785,1,SI2522,455.0,08-12-2006,AI563819,F,AOI100022,72.0
308,CI23786,1,SI2522,273.0,08-12-2006,AI563820,M,AOI100176,72.0
309,CI23787,1,SI2521,36.0,08-12-2006,AI563808,M,AOI100168,
310,CI23788,1,SI2521,120.0,08-12-2006,AI563821,M,AOI100085,30.0
311,CI23789,1,SI2521,469.0,08-12-2006,AI563750,M,AOI100126,29.0
312,CI23790,1,SI2474,1190.0,07-10-2005,AI563822,M,AOI100174,45.0
313,CI23791,1,SI2521,1119.0,08-12-2006,AI563823,M,,74.0
314,CI23792,1,SI2521,81.0,08-12-2006,AI563824,M,AOI100177,
315,CI23793,1,SI2465,24.0,18-12-2004,AI563825,M,AOI100178,
317,CI23795,1,SI2457,916.0,07-02-2006,AI563772,M,AOI100108,32.0
318,CI23796,1,SI2461,63.0,20-01-2005,AI563827,M,AOI100047,61.0
319,CI23797,1,SI2461,117.0,20-01-2005,AI563828,M,AOI100047,
320,CI23798,1,SI2461,83.0,20-01-2005,AI563829,M,AOI100180,
321,CI23799,1,SI2461,96.0,22-01-2005,AI563830,M,AOI100047,
322,CI23800,1,SI2461,161.0,21-01-2005,AI563831,M,AOI100132,
323,CI23801,1,SI2461,283.0,21-01-2005,AI563832,M,AOI100181,45.0
324,CI23802,1,SI2461,77.0,21-01-2005,AI563833,M,AOI100181,
325,CI23803,1,SI2525,501.0,08-12-2006,AI563834,M,AOI100182,78.0
326,CI23804,1,SI2460,626.0,21-02-2002,AI563835,M,AOI100183,135.0
327,CI23805,1,SI2456,982.0,04-05-2004,AI563836,M,AOI100184,52.0
328,CI23806,1,SI2456,171.0,04-05-2004,AI563688,M,AOI100083,81.0
329,CI23807,1,SI2456,135.0,04-05-2004,AI563837,M,AOI100185,
330,CI23808,1,SI2456,92.0,04-05-2004,AI563726,M,AOI100109,
331,CI23809,1,SI2456,55.0,04-05-2004,AI563688,M,AOI100083,81.0
332,CI23810,1,SI2456,105.0,04-05-2004,AI563838,M,AOI100186,
333,CI23811,1,SI2456,366.0,03-05-2004,AI563839,M,AOI100164,81.0
334,CI23812,1,SI2456,1595.0,03-05-2004,AI563840,M,AOI100187,52.0
335,CI23813,1,SI2456,369.0,03-05-2004,AI563841,F,AOI100093,52.0
336,CI23814,1,SI2464,185.0,24-02-2005,AI563842,M,AOI100128,114.0
337,CI23815,1,SI2476,99.0,17-06-2006,AI563843,M,AOI100188,41.0
338,CI23816,1,SI2471,39.0,13-06-2005,AI563740,M,AOI100118,
339,CI23817,1,SI2471,88.0,12-06-2005,AI563844,F,AOI100189,
340,CI23818,1,SI2471,35.0,12-06-2005,AI563845,F,AOI100190,
341,CI23819,1,SI2471,165.0,12-06-2005,AI563846,M,AOI100080,
342,CI23820,1,SI2471,21.0,12-06-2005,AI563847,F,AOI100191,
343,CI23821,1,SI2471,238.0,12-06-2005,AI563848,M,AOI100192,
344,CI23822,1,SI2479,283.0,04-04-2006,AI563849,F,AOI100193,122.0
345,CI23823,1,SI2479,33.0,03-04-2006,AI563850,M,AOI100194,122.0
346,CI23824,1,SI2479,107.0,03-04-2006,AI563851,F,AOI100195,122.0
347,CI23825,1,SI2479,159.0,03-04-2006,AI563852,M,AOI100196,122.0
348,CI23826,1,SI2479,108.0,04-04-2006,AI563853,M,AOI100197,122.0
349,CI23827,1,SI2479,290.0,04-04-2006,AI563854,F,AOI100197,59.0
350,CI23828,1,SI2479,48.0,04-04-2006,AI563855,M,AOI100193,122.0
